price,land area,road access,facing,floor,bedroom,bathroom,city,district
46500000.0,1471.675,13.0,West,3.0,6.0,6.0,Hepali Height, Kathmandu
35000000.0,855.625,13.0,South-East,3.0,3.0,2.0,Sanepa, Lalitpur
28000000.0,1095.2,6.0,East,6.0,22.0,8.0,Old Baneshwor, Kathmandu
76000000.0,2053.5,10.0,South,3.5,8.0,10.0,Baluwatar, Kathmandu
73500000.0,3114.475,13.0,South-East,3.5,4.0,3.0,Manamaiju, Kathmandu
23000000.0,1026.75,13.0,South-East,2.5,5.0,3.0,Greenhill City, Kathmandu
39000000.0,2053.5,14.0,South-West,2.5,6.0,6.0,Budhanilkantha, Kathmandu
35000000.0,1369.0,18.0,South-East,3.0,7.0,4.0,Sainbu, Lalitpur
16000000.0,752.95,12.0,East,2.5,5.0,3.0,Thali, Kathmandu
28000000.0,1129.425,13.0,West,3.0,5.0,5.0,Balkot, Bhaktapur
40000000.0,1369.0,16.0,West,3.0,10.0,4.0,Budhanilkantha, Kathmandu
19000000.0,1369.0,5.0,South,2.5,4.0,3.0,Bhaisepati, Lalitpur
55500000.0,2121.9500000000003,20.0,South,3.5,6.0,6.0,Pepsicola, Kathmandu
85000000.0,2053.5,12.0,South-East,4.0,8.0,6.0,Bijulibajar, Kathmandu
33800000.0,1095.2,13.0,East,2.5,4.0,3.0,Sundarbasti, Kathmandu
26000000.0,1095.2,13.0,East,2.5,5.0,3.0,Harisiddhi, Lalitpur
32500000.0,1095.2,18.0,East,3.5,6.0,3.0,Ghattekulo, Kathmandu
45000000.0,1745.475,13.0,South-West,3.0,7.0,6.0,Bhangal , Kathmandu
27500000.0,1095.2,10.0,West,2.5,6.0,4.0,Baluwakhani, Kathmandu
73000000.0,21904.0,20.0,South-East,2.5,4.0,3.0,Lele, Lalitpur
25000000.0,1711.25,16.0,East,2.5,4.0,3.0,Syuchatar, Kathmandu
32000000.0,1369.0,13.0,South-East,2.5,5.0,4.0,Kapan, Kathmandu
39000000.0,1369.0,26.0,West,2.5,4.0,3.0,Khusibu Town Planning, Kathmandu
46000000.0,2395.75,13.0,South-East,2.5,6.0,5.0,Nakhipot, Lalitpur
49500000.0,2806.45,12.0,South-East,3.5,8.0,7.0,Sitapaila, Kathmandu
28000000.0,1711.25,13.0,South,3.5,8.0,4.0,Pasikot, Kathmandu
12500000.0,684.5,12.0,South-West,2.5,4.0,3.0,Kapan, Kathmandu
